id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,field:how do you rate the level of hygiene of the market place,field:what is the common name of the product in english,"field:what is the geographical origin of the product: local, national or international ",field:what is the local name of the product,field:what is the name of the food market you are visiting,field:what is the nutritional value and/or health benefits (health claims) of the product,field:what is the price of the product,field:what is the scientific name of the product
56961,"March 01, 2012 14:15",2012-03-01,2012-03-01 14:15:00 -0500,Eastern Time (US & Canada),false,1000,muir,2012-03-10 19:04:00 -0500,2016-12-19 12:58:08 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/56961,https://static.inaturalist.org/photos/88639/medium.JPG?1444776421,"mortality, bushmeat",Brush-tailed porcupine being sold on the side of the road as bushmeat.  Probably the most common species seen on EG roadsides.,false,1,0,false,,"Road to Bata, EG",1.85437,10.05225,,,,"",African Brush-tailed Porcupine,Atherurus africanus,African Brush-tailed Porcupine,Mammalia,44181,,,,,,,,
56964,"March 01, 2012 14:14",2012-03-01,2012-03-01 14:14:00 -0500,Eastern Time (US & Canada),false,1000,muir,2012-03-10 19:04:01 -0500,2016-12-19 12:56:46 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/56964,https://static.inaturalist.org/photos/88646/medium.JPG?1444776431,"mortality, bushmeat",Putty-nosed guenon being sold on the side of the road as bushmeat.,false,1,0,false,,"Road to Bata, EG",1.85437,10.05225,,,,"",Putty-nosed Monkey,Cercopithecus nictitans,Putty-nosed Monkey,Mammalia,43485,,,,,,,,
77056,2010-10-17,2010-10-17,,Pacific Time (US & Canada),false,6581,akrohn,2012-05-10 17:49:53 -0400,2017-02-04 06:03:33 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/77056,https://static.inaturalist.org/photos/114209/medium.JPG,"",Three found within 2m of the ground in primary forest.,false,2,0,false,,Tai National Park,5.7690162,-7.179026,72908,,,google,Atheris chlorechis,Atheris chlorechis,Green Bush Viper,Reptilia,30882,,,,,,,,
456868,2013-06-05,2013-06-05,,Central Time (US & Canada),,1639,tonyg,2013-11-14 09:55:48 -0500,2016-12-19 12:52:26 -0500,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/456868,https://static.inaturalist.org/photos/576493/medium.JPG?1384440953,"",In the public market in Bambang.,true,0,0,false,,"Batuferry, Bambang, Nueva Vizcaya, Philippines",16.387541,121.112396,20198,,,,Lepidiota,Lepidiota,,Insecta,326866,,,,,,,,
481944,2013-06-21,2013-06-21,,Central Time (US & Canada),,1639,tonyg,2013-12-15 16:59:19 -0500,2016-12-20 04:22:50 -0500,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/481944,https://static.inaturalist.org/photos/609362/medium.JPG?1387144765,"",Sold as a snack in the market.,true,0,0,false,,"Bambang, Nueva Viszaya, Philippines",16.387541,121.112396,20198,,,,Mole Crickets,Gryllotalpidae,Mole Crickets,Insecta,71220,,,,,,,,
482299,2013-06-19,2013-06-19,,Central Time (US & Canada),,1639,tonyg,2013-12-15 23:32:52 -0500,2016-12-20 04:20:53 -0500,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/482299,https://static.inaturalist.org/photos/609741/medium.JPG?1387168382,"","",true,0,0,false,,"Batuferry, Bambang, Nueva Vizcaya, Philippines",16.387344,121.106844,508,,,,Rana,Rana,Pond Frogs,Amphibia,25474,,,,,,,,
485668,2013-06-20,2013-06-20,,Central Time (US & Canada),,1639,tonyg,2013-12-21 20:24:08 -0500,2016-12-20 04:15:43 -0500,research,CC-BY-NC,http://www.inaturalist.org/observations/485668,https://static.inaturalist.org/photos/613916/medium.JPG?1387675454,"","This fruit is locally called Rambutan. There is a domestic variety, but these fruits are wild collected. The wild fruits taste differently (more sour) than the domestic kind.",false,1,0,false,,"Malasin, Dupax del Norte, Nueva Vizcaya, Philippines",16.306959,121.100502,2082,,,,Rambutan (Nephelium lappaceum),Nephelium lappaceum,Rambutan,Plantae,278605,,,,,,,,
485676,2013-06-20,2013-06-20,,Central Time (US & Canada),,1639,tonyg,2013-12-21 20:30:15 -0500,2016-12-20 04:14:39 -0500,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/485676,https://static.inaturalist.org/photos/613927/medium.JPG?1387675818,"","A local, wild collected, edible mushroom. ",true,0,0,false,,"Malasin, Dupax del Norte, Nueva Vizcaya, Philippines",16.306959,121.100502,2082,,,,Gilled Mushrooms,Agaricales,Gilled Mushrooms,Fungi,47167,,,,,,,,
572517,2014-03-16,2014-03-16,,Lisbon,,3042,duarte,2014-03-17 06:24:33 -0400,2016-12-19 12:44:58 -0500,casual,CC-BY-NC,http://www.inaturalist.org/observations/572517,https://static.inaturalist.org/photos/727607/medium.jpg?1395051878,"Dicentrachus labrax, fish market","In a fish market.Vagueira beach, Portugal.",false,1,0,true,,"Praia da Vagueira, Vagos, Aveiro, Portugal",40.56338,-8.768372,12,,,,Dicentrarchus labrax,Dicentrarchus labrax,European Seabass,Actinopterygii,99269,,,,,,,,
1382415,2015-04-10,2015-04-10,,Lisbon,,3042,duarte,2015-04-10 13:15:54 -0400,2016-12-20 03:51:32 -0500,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/1382415,https://static.inaturalist.org/photos/1708155/medium.JPG?1428686161,"Engraulis encrasicolus, Matosinhos, Porto, Portugal","Sporadically caught by sardine seize nets off the Portuguese coast (though they reach higher values than sardine because they are sold to Spain. There's not much tradition of eating anchovies in Portugal, we really are sardine people.) Sorry about the pictures, but I really had to sneak to get these photos. However, those weird mouths cannot be confused with anything else.",false,0,0,false,,"Matosinhos, Porto, Portugal",41.183842,-8.698515,99,,,,Engraulis encrasicolus,Engraulis encrasicolus,European anchovy,Actinopterygii,51910,,,,,,,,
1547809,2015-05-25,2015-05-25,,Lisbon,,3042,duarte,2015-05-26 10:07:23 -0400,2016-12-20 03:47:02 -0500,casual,CC-BY-NC,http://www.inaturalist.org/observations/1547809,https://static.inaturalist.org/photos/1917386/medium.JPG?1432649262,"Xiphias gladius, Vigo, lota, landing, España, Spain, Espanha, Galicia",Being landed in Vigo,false,0,0,true,,"Vigo, Pontevedra, Galicia, España",42.235792,-8.733175,49,,,,Xiphias gladius,Xiphias gladius,Swordfish,Actinopterygii,115167,,,,,,,,
1547985,2015-05-25,2015-05-25,,Lisbon,,3042,duarte,2015-05-26 10:57:29 -0400,2016-12-20 03:42:29 -0500,casual,CC-BY-NC,http://www.inaturalist.org/observations/1547985,https://static.inaturalist.org/photos/1917586/medium.PNG?1432652350,"Prionace glauca, Vigo, landing, Galicia, Spain, Espanha, España","Being landed in Vigo. I'm sorry for the low resolution, but I had filmed this, not photographed.",false,1,0,true,,"Pontevedra, ES-GA, ES",42.3250226887,-8.7831631908,196,,,,Prionace glauca,Prionace glauca,Blue Shark,Animalia,110361,,,,,,,,
